var,var_lbl,num_country,pvalue,pvalue_mv,mean_r2,beta,beta_mv,pct_diff,or,or_mv
hv101,relationship to head,29,6.175537364706869e-69,1.2779898504332956e-9,0.012663098557336896,0.9822969850354254,0.4082851551810445,-58.43567053539106,2.670583492452035,1.504236040719118
v302,ever use of any method,16,1.1016842336047754e-10,1.1920407357845576e-10,0.011773148623188238,0.8346950575787261,0.6750892693563042,-19.1214488181354,2.304111319861841,1.9642083117553122
hb0,index to household schedule,25,1.1007536873664353e-16,2.230904891147376e-5,0.010056490456953546,-0.2307234218046555,-0.06461178011032123,-71.9960030044,0.7939590274258794,0.9374313222287091
hb1_1,man's age in years,13,5.306996728954786e-24,9.4486379220496e-8,0.008731783008588295,0.03048904661756072,-0.022809173464149894,-174.8110419792941,1.0309585975031377,0.9774489891821964
v201,total children ever born,29,9.261737040823926e-22,4.8718249087872467e-4,0.008495534309802561,0.08713789825447346,-0.030018354698975964,-134.44925262176022,1.0910471228389051,0.9704277214763354
v502,currently/formerly/never in union,20,1.6453885350345818e-21,0.0015234604917144618,0.008482485974288976,0.7919179510527933,0.16720150976837905,-78.88651096416015,2.2076264879803613,1.1819924243315236
v503,number of unions,29,3.4533329258700056e-11,6.341220972841111e-9,0.008105172087194579,-0.5779273844510027,-0.5825198184590136,0.7946385880941511,0.561060024044633,0.5584893003672373
hv101,relationship to head,29,3.2940939095466216e-64,4.62307786864862e-10,0.007130308542040828,-0.9787210600079282,-0.3431627857323457,-64.93763138911449,0.3757914063019231,0.7095227019861498
hb57,na - anemia level,11,2.0384736184436122e-29,5.140867829648437e-22,0.006974085642560176,-0.9791111027422865,-0.9749246837714458,-0.4275734346301887,0.3756448601757445,0.3772207633385119
v304_09,knows method,16,5.173744044209026e-12,2.6044010927996596e-4,0.006530985695643195,-0.6024808281640626,-0.28502372475465304,-52.69165234299575,0.5474518161676434,0.7519964131773426
v781,ever been tested for hiv,28,4.805940572526966e-55,3.0270694612348278e-30,0.006021812421976366,-0.7503998685675803,-0.565432252983282,-24.64920682054201,0.47217770596365877,0.5681145244778318
v304_03,knows method,16,6.732436964590226e-19,2.2722511588436273e-6,0.005910904884517492,-0.7654237679496116,-0.41678770467368365,-45.548110455185,0.4651367791447633,0.6591608418572281
v745a,owns a house alone or jointly,15,1.9798515007996148e-8,0.5599802008728019,0.0057907762134570915,-0.5250626658276263,0.045543353556269525,-108.6738891413051,0.5915182952218168,1.0465963773053428
hb1_2,man's age in years,13,1.0393134062511435e-21,1.7890786806280842e-4,0.005694022916163435,0.03921265568483979,0.015456091392316835,-60.58392087355512,1.0399916202665807,1.015576154544356
v536,recent sexual activity,29,4.973128873256839e-23,0.010069287291052994,0.005637094970161695,0.5177387249420493,0.1430082849192026,-72.37829081932985,1.6782284196987622,1.1537393602637949
hb32_01,date of birth (cmc),16,9.85673599110241e-10,2.7604232025216798e-5,0.005314127964910699,-0.002110657970653586,0.001761710929072561,-183.4673809573718,0.9978915679015872,1.0017632636534546
v304_02,knows method,16,1.2148653570638303e-13,0.0019438031213580742,0.0047434713635730996,-0.5369404024331339,-0.20772025561651972,-61.314094697430136,0.5845339578861494,0.8124342788520565
hb32_02,date of birth (cmc),16,4.50706980544842e-9,0.0010365468254766046,0.004625598852572293,-0.0035055987120147674,-0.0017445289677165648,-50.23591942404798,0.996500538725258,0.9982569918384511
v304_01,knows method,16,9.03597376188623e-18,0.0011074612796085448,0.004223209230947302,-0.655410194679828,-0.2542047186440971,-61.21440882251188,0.5192290339110979,0.775533019725929
mv247,age of most recent child,22,4.460114719500242e-10,1.6654777586686392e-5,0.004052226815308507,0.0325186882435978,0.019220629172094605,-40.893590085452736,1.0330531989134073,1.0194065346280514
mv396,can a woman who is breastfeeding get pregnant,14,2.558968015523757e-9,0.0013040457867396925,0.003947797125449741,0.4451173124388984,0.21027633593650358,-52.759344545744135,1.5606732714817324,1.2340190166459086
hb1_3,man's age in years,11,1.3092567951293127e-8,0.00187900872153585,0.0038050390776660234,0.03821738032562799,0.023219029705333884,-39.2448422484794,1.038957057156129,1.0234906898627452
v605,desire for more children,24,3.8941089774509423e-25,1.9643757077557738e-20,0.003421383249247412,0.5646579386090279,0.46049039188294927,-18.4479026333507,1.7588460464871485,1.584850992522235
v602,fertility preference,24,9.790207257645853e-9,3.0342620304269576e-7,0.0030421214290731694,0.35228544806814366,0.2805409212425846,-20.365452850519468,1.4223144626942417,1.323845714965641
hv011,number of eligible men in household,29,1.66818185318293e-14,8.909411177130613e-20,0.0028904161666346907,-0.20291380311199644,-0.1790841014582739,-11.743755864932446,0.8163486051022872,0.8360355846284535
v513,cohabitation duration (grouped),29,3.9517183980647525e-18,3.05933279447482e-20,0.00275203698198266,0.46842608296802674,0.5188429028597892,10.76302574192986,1.5974779158309615,1.680082505892857
v511,age at first cohabitation,29,3.8167476300723135e-13,0.0023391560077856057,0.0026038731598438665,0.029226182734432875,0.013833129828188895,-52.668708213162,1.0296574588787626,1.0139292502727482
hv246,"owns livestock, herds or farm animals",25,8.70325156807578e-11,1.3512270849793927e-6,0.002551666904585551,0.3912344072538383,0.2526522738274403,-35.42176527855434,1.4788051154346171,1.2874355239642805
v762az,source for condoms: dk source for condom,21,1.0621971887607583e-10,5.649942223901276e-6,0.0025000695447932463,0.531363587945495,0.46455188534129427,-12.573632089192754,1.7012505324266114,1.5913009438119154
mv136,number of household members (total listed),21,3.6355293797460086e-13,1.2219123609255116e-9,0.0024704961756352273,-0.07865949607879709,-0.07126034588840631,-9.406556816711216,0.9243546172367326,0.9312194214182652
hv244,owns land usable for agriculture,25,4.482780077010618e-9,4.357655665632308e-5,0.002469693087872936,0.38523051362627303,0.20884113741364832,-45.788007432803425,1.4699531266157069,1.232249224681234
v304_06,knows method,16,5.481634935375935e-22,0.00611161754545285,0.0024631658782795734,-0.40670770072346685,-0.13450629370519418,-66.92801895171166,0.6658387860554884,0.8741473772333707
mv304_03,knows contraceptive method,20,5.120049348420686e-25,6.415297335167933e-5,0.002424783522774692,-0.675353359245381,-0.23014285738076495,-65.92260122346626,0.5089765372625756,0.7944201056210773
hv225,share toilet with other households,29,4.2223700807512947e-11,2.765093112941054e-10,0.0024189220394105013,-0.32440139523722233,-0.27547856529027687,-15.080955466042331,0.722959991433802,0.7592087053378604
hv270,wealth index combined,29,1.4043305447193283e-7,0.9711489200218988,0.0024166219196341994,0.3648055294688682,0.002785430189086481,-99.23646163117596,1.4402338978624303,1.0027893131041148
hv118_03,eligibility for male interview,29,7.120860346373984e-17,1.0473853171489156e-10,0.002339306331157014,0.4226102799203574,0.2836572806936611,-32.879701661039235,1.52593949081034,1.327977729147894
v304_13,knows method,13,1.1035874584317637e-19,0.004406074004109916,0.0022773508642653807,-0.4799276239073384,-0.1826246692795488,-61.94745620335268,0.6188281785509689,0.8330807778736284
mv304_01,knows contraceptive method,20,2.6670072759652482e-33,3.769715630324611e-5,0.0022671580257732217,-0.7434907197630471,-0.26726148624513785,-64.05315101574975,0.4754513480137435,0.7654728846631016
mv304_02,knows contraceptive method,20,8.681892569378735e-15,0.005887592465220846,0.002195492868252557,-0.4773340820190816,-0.12304593680275934,-74.22226037531497,0.6204352184154696,0.8842230432483343
v304_14,knows method,15,3.644896882656142e-22,5.867622175744318e-8,0.0021232780165760558,-0.4220913384238931,-0.2753375740608156,-34.76824824481409,0.6556741484150059,0.7593157546529736
mv717,occupation (grouped),21,8.745304831830664e-11,2.9722367938803924e-5,0.002050212455974916,0.5574119097699148,0.2757316886126762,-50.53358498807622,1.7461474600340583,1.3174943178709753
mv304_09,knows contraceptive method,20,3.958645830646358e-10,0.08702632357645802,0.0020232085838929816,-0.44513334531576504,-0.10082766747249403,-77.34888465815347,0.6407388308138677,0.9040888233736162
v384a,heard family planning on radio last few months,15,9.663133642398872e-8,0.06015510928209168,0.0019012878456297455,-0.33805170783609156,-0.1397115647314229,-58.67154003577354,0.7131584110666531,0.8696090251414875
v744b,beating justified if wife neglects the children,13,2.6741440051530563e-7,0.04200156602072689,0.001849282928620994,0.34100116029010624,0.10863239916484062,-68.14309984387684,1.406354872640867,1.1147524910670452
hv217,relationship structure,29,1.2466845078356423e-15,1.9511681993196688e-17,0.0018108598593324775,0.33042680170131944,0.3190512818558016,-3.442674682243368,1.3915619227346785,1.3758218777961282
mv304_14,knows contraceptive method,20,3.7051926967136966e-11,9.051447393610551e-5,0.001790207996034441,-0.5602795229384862,-0.3227794200791649,-42.38957397795113,0.5710494201258787,0.724133566077349
v769a,could get a female condom,14,2.3161793376127131e-10,0.004547085547130168,0.0017502195622342185,-0.30106125056066757,-0.19354597764058826,-35.71209271198242,0.7400324439564104,0.8240319482793678
v717,respondent's occupation (grouped),18,1.1383333831231214e-8,1.4862767914787834e-4,0.0017270121340225843,0.57090889194809,0.37819480316202914,-33.75566425817439,1.7698749457092484,1.459647259083566
hml17_03,flag for age from individual file,25,1.1811111472769766e-13,1.0716082386017965e-7,0.0016327829121906838,0.3874072661815559,0.28819380649411497,-25.609602180498392,1.47315633587238,1.3340158200007157
