name,var,var_lbl,lvl_lbl,gender,beta,se,zval,pvalue,tau2,H2,k,I2,QE,QEp,mean_r2,num_surveys,beta_mv,se_mv,pvalue_mv,pct_diff,num_country,num_country_bin,odds_ratio,sig
hv121_0,hv121,member attended school during current school year,[0]no,f,1.4911135694613002,0.0961817091306215,15.503088715508929,3.30609017480801e-54,0.2807141284545411,4.584241067332836,48,78.18613844010146,215.4593301646433,2.0526471083206945e-23,0.013236396936721045,"(40,50]",1.236286083640153,0.10354601077606204,7.36776114088163e-33,-17.089743601032996,29,"(20,30]",4.442039285173143,TRUE
hv101_1,hv101,relationship to head,[1]head,f,0.9269476295170642,0.04351120977762288,21.303651041984555,1.0500882766840033e-100,0.049202004094813546,3.7618755486707784,45,73.41751509155213,165.52252414151425,5.598716755819278e-16,0.010396496861759063,"(40,50]",0.623671812464165,0.05213087230584487,5.513331108435959e-33,-32.71768624198377,29,"(20,30]",2.526784711578812,TRUE
v503_1,v503,number of unions,[1]once,f,-0.8398442999431522,0.050222916865715055,-16.72233220122817,9.012230925518238e-63,0.07883930131860631,4.160317719503996,50,75.96337425596374,203.8555682556958,8.711273728359941e-21,0.00922343977629499,"(40,50]",-0.9051415032094295,0.0509729913705054,1.5140502217516282e-70,7.774917716378758,29,"(20,30]",0.4317777460152638,TRUE
v781_0,v781,ever been tested for hiv,[0]no,f,-0.7181451246351225,0.04948413816107382,-14.512632761179296,1.0077708450811225e-47,0.07523894454781804,4.084574462517898,49,75.51764549339225,196.05957420085912,8.498788991239041e-20,0.006116134622971956,"(40,50]",-0.5364124698712757,0.050427287963632786,1.997393872522944e-26,-25.305839798910025,29,"(20,30]",0.487655958597126,TRUE
hv101_07_3,hv101_07,relationship to head,[3]son/daughter,f,-0.635833690750315,0.05254182217454712,-12.101477726410723,1.0372696459485587e-33,0.05888347029654728,2.0239898728038264,50,50.59263816302088,99.1755037673875,2.9590090247890117e-5,0.0054301661401739455,"(40,50]",-0.6034049724421384,0.06543719505255245,2.939817289646535e-20,-5.1001887411642395,29,"(20,30]",0.5294938701147784,TRUE
hv104_01_1,hv104_01,sex of household member,[1]male,f,-0.6101503578991565,0.040536676699617816,-15.051810053903829,3.359160073813255e-51,0.04779413981894762,4.044141619666592,48,75.27287384949585,190.0746561243298,4.1181749017988975e-19,0.0049512336477303244,"(40,50]",-0.5155067305768039,0.039508443947448645,6.522557452242192e-39,-15.511525330940643,29,"(20,30]",0.5432691781209149,TRUE
hv101_06_3,hv101_06,relationship to head,[3]son/daughter,f,-0.590022066337123,0.047533096082750415,-12.412868400365777,2.2253498703111554e-35,0.05509539747450857,2.4694443207519683,50,59.505059838907776,121.00277171684645,5.040169137852649e-8,0.004502845422630618,"(40,50]",-0.5606175436046814,0.0504356501241608,1.054564607576216e-28,-4.983631021630397,29,"(20,30]",0.554315052896722,TRUE
hv113_03_0,hv113_03,father alive,[0]no,f,0.4500127228429975,0.2324520636407079,1.9359377404304943,0.0528753267367846,2.3712652572654997,53.85457535544476,47,98.14314755357383,2477.310466350459,0,0.0042513534632509205,"(40,50]",0.36459402810126024,0.26564437481581427,0.1699112073296112,-18.98139550413078,29,"(20,30]",1.5683321390068083,FALSE
hv217_1,hv217,relationship structure,[1]one adult,f,0.43212977901329924,0.17149805490823716,2.519735744201398,0.011744296706344588,1.3666020707119173,49.81516513096972,50,97.99257917268591,2440.9430914175164,0,0.004205282979480069,"(40,50]",0.43370288171662846,0.11370781859562754,1.366319918746509e-4,0.36403478300457676,29,"(20,30]",1.5405350313047022,FALSE
hv270_5,hv270,wealth index combined,[5]richest,f,0.4544369695448416,0.07491245858034329,6.066240224347461,1.3093923911481005e-9,0.23152270742809053,11.252690910300444,50,91.11323675402278,551.3818546047218,3.606412417398247e-86,0.00414255267728756,"(40,50]",-0.06760273662722735,0.06783550883922243,0.31897396398941325,-114.87615250469992,29,"(20,30]",1.5752861991959297,TRUE
