name,var,var_lbl,lvl_lbl,gender,beta,se,zval,pvalue,tau2,H2,k,I2,QE,QEp,mean_r2,num_surveys,num_country,num_country_bin,odds_ratio,sig
hv121_0,hv121,member attended school during current school year,[0]no,m,2.2911830667597766,0.5979854592397694,3.831502976130226,1.2736283351192192e-4,16.870916281097223,153.97373988129348,48,99.35053860432893,7236.765774420794,0,0.012799159338908586,"(40,50]",29,"(20,30]",9.8866273051379725,FALSE
hv101_1,hv101,relationship to head,[1]head,m,0.9822969850354254,0.055978139488644274,17.547867685647077,6.175537364706869e-69,0.08229782240019573,4.025872491268525,45,75.16066387674124,177.1383896158151,6.840588837512377e-18,0.012663098557336896,"(40,50]",29,"(20,30]",2.670583492452035,TRUE
v536_0,v536,recent sexual activity,[0]never had sex,m,-2.5601482446104846,0.8834783510264654,-2.897805296118448,0.003757837996355456,35.628189276528815,364.6448790638752,46,99.72576058038516,16409.019557874384,0,0.01152267341964892,"(40,50]",29,"(20,30]",0.07729328128156458,FALSE
v201,v201,total children ever born,NA,m,0.08713789825447346,0.009091238200714372,9.584821817519458,9.261737040823926e-22,0.003556315542346716,11.824980765782467,50,91.54332662515895,579.4240575233408,9.37855058540753e-92,0.008495534309802561,"(40,50]",29,"(20,30]",1.0910471228389051,TRUE
v503_1,v503,number of unions,[1]once,m,-0.5779273844510027,0.08722356858809725,-6.625816781014714,3.4533329258700056e-11,0.26728106703743626,8.635704566936383,45,88.42016893643269,379.9710009452008,4.849389930272902e-55,0.008105172087194579,"(40,50]",29,"(20,30]",0.561060024044633,TRUE
hv101_3,hv101,relationship to head,[3]son/daughter,m,-0.9787210600079282,0.05784959960036075,-16.918372240588937,3.2940939095466216e-64,0.06755789744440614,2.4818495496365447,45,59.707468966181075,109.20138018400797,1.8345951375707237e-7,0.007130308542040828,"(40,50]",29,"(20,30]",0.3757914063019231,TRUE
v536_1,v536,recent sexual activity,[1]active in last 4 weeks,m,0.5177387249420493,0.052391063915347036,9.882195287704148,4.973128873256839e-23,0.07964037303511794,4.181759960345698,46,76.08662358713359,188.1791982155564,2.0064181260429269e-19,0.005637094970161695,"(40,50]",29,"(20,30]",1.6782284196987622,TRUE
hv118_01_0,hv118_01,eligibility for male interview,[0]not eligible,m,-1.000517762545591,0.3010695613760187,-3.3232112803858023,8.898748719658533e-4,4.222738325770551,119.52738580793513,48,99.16337164638833,5617.787132972951,0,0.0049061909336580245,"(40,50]",29,"(20,30]",0.36768901627720385,FALSE
v763b_0,v763b,had genital sore/ulcer in last 12 months,[0]no,m,-0.24772925584823247,0.41931335486887467,-0.5907974381729411,0.5546561517082949,7.8056092605174845,100.64712025055154,46,99.00642959529235,4529.120411274819,0,0.003873692435958753,"(40,50]",29,"(20,30]",0.7805712497726585,FALSE
hv011,hv011,number of eligible men in household,NA,m,-0.20291380311199644,0.02644200147138861,-7.673919969014372,1.66818185318293e-14,0.021063411733199183,3.757959220390301,50,73.38981235948218,184.14000179912475,1.5734137004159253e-17,0.0028904161666346907,"(40,50]",29,"(20,30]",0.8163486051022872,TRUE
v763a_0,v763a,had any sti in last 12 months,[0]no,m,-0.1084531941421763,0.46769559241987124,-0.23188842465039317,0.8166246753025248,9.774818870114267,106.68148910028052,46,99.06263025719487,4800.667009512624,0,0.002861758864951807,"(40,50]",29,"(20,30]",0.897220889027544,FALSE
v513_2,v513,cohabitation duration (grouped),[2]5-9,m,0.46842608296802674,0.05396507117607203,8.680171688084897,3.9517183980647525e-18,0.06767576819020742,2.50626910294766,50,60.10005474576193,122.80718604443534,2.8705175586145308e-8,0.00275203698198266,"(40,50]",29,"(20,30]",1.5974779158309615,TRUE
v511,v511,age at first cohabitation,NA,m,0.029226182734432875,0.004024588676261674,7.261905522623556,3.8167476300723135e-13,3.8354350476392355e-4,2.4689216469720088,50,59.49648700976628,120.97716070162843,5.0804248242558144e-8,0.0026038731598438665,"(40,50]",29,"(20,30]",1.0296574588787626,TRUE
v785_0,v785,heard about other stis,[0]no,m,-0.9975733496697271,0.7492464517873091,-1.3314355340489639,0.1830457437542439,25.086863059989486,426.8917075758713,45,99.7657485534965,18783.235133338338,0,0.002507833557044539,"(40,50]",29,"(20,30]",0.36877323996883077,FALSE
hv113_03_0,hv113_03,father alive,[0]no,m,-3.464398020228895,0.9696284590821379,-3.57291289027174,3.5303222410147883e-4,43.83929814995831,377.0921553896685,47,99.73481283402285,17346.239147924753,0,0.002468297330506561,"(40,50]",29,"(20,30]",0.03129183681046784,FALSE
hv225_0,hv225,share toilet with other households,[0]no,m,-0.32440139523722233,0.049181109492354276,-6.596056871951088,4.2223700807512947e-11,0.05433110480206144,2.546269293320019,48,60.726856243232454,119.6746567860409,2.9105322059499487e-8,0.0024189220394105013,"(40,50]",29,"(20,30]",0.722959991433802,TRUE
hv270_5,hv270,wealth index combined,[5]richest,m,0.3648055294688682,0.06929299910658679,5.2646809082072314,1.4043305447193283e-7,0.1693256841422174,5.451040077173182,50,81.65487712725489,267.1009637814859,8.616328080581044e-32,0.0024166219196341994,"(40,50]",29,"(20,30]",1.4402338978624303,TRUE
hv118_03_0,hv118_03,eligibility for male interview,[0]not eligible,m,0.4226102799203574,0.05064228113341504,8.345008764652755,7.120860346373984e-17,0.055662565254373464,2.5293848040583597,48,60.46469487776177,118.8810857907429,3.7402555403048056e-8,0.002339306331157014,"(40,50]",29,"(20,30]",1.52593949081034,TRUE
hv104_01_1,hv104_01,sex of household member,[1]male,m,1.443996190290467,0.481321430230707,3.0000662750427103,0.0026992086797702794,10.923961120439461,229.61489895485042,48,99.56448819107483,10791.90025087797,0,0.002099300571385569,"(40,50]",29,"(20,30]",4.23759626685524,FALSE
hv226_7,hv226,type of cooking fuel,[7]charcoal,m,-0.17735030404137792,0.17664743073238307,-1.0039789614039714,0.3153887544182077,1.2876905870297755,26.27681191008349,46,96.1943632910191,1182.456535953757,2.914292556115978e-218,0.0020079631678955445,"(40,50]",29,"(20,30]",0.8374863582758915,FALSE
hv217_1,hv217,relationship structure,[1]one adult,m,0.24537088891371986,0.21043144425776802,1.1660371850755953,0.2435994114443954,2.036262202700328,39.38354193961851,50,97.46086829484975,1929.7935550413067,0,0.0020004175982686278,"(40,50]",29,"(20,30]",1.2780952566706423,FALSE
v763c_0,v763c,had genital discharge in last 12 months,[0]no,m,1.1772616332323869,0.7999050101039504,1.471751793477825,0.1410879156328308,29.168683051996116,331.7190198918475,46,99.69854004743955,14927.355895133138,0,0.001939869689480475,"(40,50]",29,"(20,30]",3.2454747233038486,FALSE
hv118_04_0,hv118_04,eligibility for male interview,[0]not eligible,m,0.8141828394994646,0.35490468312634993,2.294088746103152,0.021785401657946107,5.882220230652098,106.00235140982548,48,99.05662470058442,4982.110516261797,0,0.0019021660421620421,"(40,50]",29,"(20,30]",2.2573303173047994,FALSE
hv217_2,hv217,relationship structure,"[2]two adults, opposite sex",m,0.33042680170131944,0.04130462248596165,7.999753582389544,1.2466845078356423e-15,0.039306351581337474,2.4664903893836274,50,59.456562072804246,120.85802907979775,5.271876257151587e-8,0.0018108598593324775,"(40,50]",29,"(20,30]",1.3915619227346785,TRUE
hv117_08_0,hv117_08,eligibility for female interview,[0]not eligible,m,2.2852286917616436,0.9494835667136932,2.4068122628716653,0.01609244001525017,42.815309458956904,167.45253252698728,48,99.40281583986267,7870.269028768403,0,0.0017169079113759913,"(40,50]",29,"(20,30]",9.827933534470192,FALSE
hv118_08_0,hv118_08,eligibility for male interview,[0]not eligible,m,2.3467622936750687,0.8109975690955203,2.8936736472494458,0.0038076368619497218,31.123693492875816,126.62782072947941,48,99.21028412694842,5951.507574285532,0,0.0016603960744089594,"(40,50]",29,"(20,30]",10.451675428806217,FALSE
hv111_03_0,hv111_03,mother alive,[0]no,m,-1.3030913007705085,0.7479491523953532,-1.7422191021906748,0.08147011268292388,25.89414420816531,174.3571252149776,47,99.42646450567075,8020.42775988897,0,0.0016274059067842882,"(40,50]",29,"(20,30]",0.27169061612749507,FALSE
hv101_08_3,hv101_08,relationship to head,[3]son/daughter,m,-0.9459533129710995,0.34051655958516175,-2.7779950382545806,0.005469545343306319,5.480091036244962,38.562913897815044,50,97.40683496415798,1889.5827809929374,0,0.0015286966644673082,"(40,50]",29,"(20,30]",0.3883092141861899,FALSE
v501_4,v501,current marital status,[4]divorced,m,-1.1974937198809956,0.8937952817463419,-1.339785233080748,0.18031517787325566,35.5701651304092,238.74571436929637,45,99.58114431388152,10504.81143224904,0,0.0014837139280685441,"(40,50]",29,"(20,30]",0.3019500357349486,FALSE
hv014,hv014,number of children 5 and under (de jure),NA,m,-0.12600053391537808,0.021506409121737062,-5.858743465826947,4.663824896263777e-9,0.012731682113522302,2.9546934388364763,50,66.15554132093689,144.77997850298735,2.1378395695182293e-11,0.0014537835370570717,"(40,50]",29,"(20,30]",0.8816143760758175,TRUE
hv104_08_1,hv104_08,sex of household member,[1]male,m,0.017269672490246704,0.06358247986561749,0.27161055257275923,0.785921484620285,0.031436583961221565,1.2327118725825574,48,18.878042611451544,57.9374580113802,0.13169000688594906,0.0014291208675373467,"(40,50]",29,"(20,30]",1.0174196554256376,FALSE
hv111_07_0,hv111_07,mother alive,[0]no,m,-3.213644110531278,0.9819940060294265,-3.272569985966877,0.001065744839905347,45.78048392541542,183.1792192704776,48,99.45408654759937,8609.423305712447,0,0.0013937474440654711,"(40,50]",29,"(20,30]",0.040209816946067484,FALSE
hv118_05_0,hv118_05,eligibility for male interview,[0]not eligible,m,0.8623410867849958,0.5634026609960084,1.5305946288228576,0.12586961002615432,15.040264670991204,190.48443571357996,48,99.47502272495186,8952.768478538257,0,0.0013747030785268546,"(40,50]",29,"(20,30]",2.3686995389055787,FALSE
