Variable	Variable Description	kc	cjp	jc	ebd	echow	category
v001	cluster number	sampleCollection	sampleCharacteristics	sampleCharacteristics	sampleCharacteristics	id	sampleCharacteristics
v002	household number	id	id	id	sampleCharacteristics	id	id
v003	line number	id	id	id	sampleCharacteristics	id	id
hhid	household id	id	id	id	id	id	id
v000	country code and phase	sampleCollection	location	sampleCollection	sampleCharacteristics	id	sampleCollection
hv003	respondent's line number (answering household questionnaire)	id	id	id	sampleCharacteristics	id	id
hv004	ultimate area unit	sampleCollection	sampleCharacteristics	sampleCharacteristics	sampleCharacteristics	sampleCollection	sampleCharacteristics
hv005	household sample weight (6 decimals)	sampleCollection	sampleCharacteristics	sampleCharacteristics	sampleCharacteristics	sampleCharacteristics	sampleCharacteristics
hv006	month of interview	sampleCollection	samplecollection	samplecollection	sampleCharacteristics	sampleCollection	samplecollection
hv007	year of interview	sampleCollection	sampleCollection	sampleCollection	sampleCharacteristics	sampleCollection	sampleCollection
hv008	date of interview (cmc)	sampleCollection	sampleCollection	sampleCollection	sampleCharacteristics	sampleCollection	sampleCollection
hv009	number of household members	social	social	social	social	social	social
hv010	number of eligible women in household	social	social	social	social	social	social
hv011	number of eligible men in household	social	social	social	social	social	social
hv012	number of de jure members	social	social	social	social	social	social
hv013	number of de facto members	social	social	social	social	social	social
hv014	number of children 5 and under (de jure)	social	biological	social	social	social	social
hv015	result of household interview	sampleCharacteristics	sampleCollection	sampleCollection	sampleCollection	sampleCollection	sampleCollection
hv016	day of interview	sampleCharacteristics	sampleCollection	sampleCollection	sampleCharacteristics	sampleCollection	sampleCollection
hv017	number of visits	sampleCharacteristics	sampleCollection	sampleCollection	sampleCharacteristics	sampleCollection	sampleCollection
hv018	interviewer identification	id	id	id	id	sampleCollection	id
hv019	na - keyer identification	id	id	id	id	sampleCollection	id
hv020	ever-married sample	social	social	social	sampleCollection	social	social
hv021	primary sampling unit	sampleCollection	sampleCharacteristics	sampleCharacteristics	sampleCharacteristics	sampleCollection	sampleCharacteristics
hv022	sample strata for sampling errors	sampleCollection	sampleCharacteristics	sampleCharacteristics	sampleCharacteristics	sampleCharacteristics	sampleCharacteristics
hv023	stratification used in sample design	sampleCollection	sampleCharacteristics	sampleCharacteristics	sampleCharacteristics	sampleCharacteristics	sampleCharacteristics
hv024	region	location	location	location	location	location	location
hv025	type of place of residence	location	location	location	location	economic	location
hv026	na - place of residence	location	location	location	location	economic	location
