var	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
ha62_699995	-13.5724458487611	0.865518533372556	1.477391e-46	2.37542435821414e-4	5.14167992401216e-46	ha62	
hb62_03?	1.88953602665711	1.00437222778234	0.0607915461338584	0.0219345504528696	0.112905629072616	hb62	
hb62_04?	2.04651865472384	1.0823835802442	0.0592342333332619	0.00868602120528039	0.110731750476057	hb62	
hb62_05?	-14.1105600389281	0.757372687369845	1.337654e-60	0.00531177549183415	5.8458543129771e-60	hb62	
hb62_06?	-12.9794989300034	1.04337096484152	1.141133e-31	0.00546880415790674	3.25834734413965e-31	hb62	
hv006	0.0876613120543259	0.0429182686802168	0.0415389930087727	0.00214827713540688	0.0807506740153561	hv006	month of interview
hv007	-0.899007633734513	0.438336128263785	0.0407072767968484	0.00265067062129154	0.0796749263801563	hv007	year of interview
hv008	-0.286888310761969	0.157284119829462	0.0686498365240378	0.00308106179189149	0.125565595559143	hv008	date of interview (cmc)
hv010	-0.255236974137485	0.273913787559042	0.351808813660622	7.54323679413083e-4	0.479834534415023	hv010	number of eligible women in household
hv011	0.0735875653618564	0.138629256219456	0.595739009485857	2.02554437226943e-4	0.713515863871659	hv011	number of eligible men in household
hv012	-0.0355149299305331	0.0485639388362553	0.464881337038538	2.6680395568246e-4	0.594072690746792	hv012	number of de jure members
hv013	-0.0357780971465026	0.0483222689527311	0.459344772472855	2.74732542485112e-4	0.588310698525077	hv013	number of de facto members
hv014	-0.0609934072628317	0.155288599504215	0.694626217293732	9.15642170902231e-5	0.790093551471476	hv014	number of children 5 and under (de jure)
hv016	-0.00806821865867486	0.0295139345734667	0.784663501675362	7.84598944100212e-5	0.857361511032492	hv016	day of interview
hv017	0.234467807943317	0.602931734990398	0.697503924069382	3.83109087194189e-5	0.792696767304658	hv017	number of visits
hv018	0.00306331840403159	0.00430590780953156	0.477100522233994	4.37395752490799e-4	0.605967940053159	hv018	interviewer identification
hv019	-0.00104867141230773	0.0164400331517928	0.94916064767299	1.72612596560651e-6	0.967941389420091	hv019	keyer identification
